epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,820.305,1.66258,1.09183,1.89193,0.91536,0.72497,0.83518,0.48301,1.4685,0.98488,1.88027,0.0017294,0.0017294,0.0017294
43,839.306,1.64584,1.10104,1.86764,0.8693,0.81743,0.87033,0.46933,1.48061,1.00574,1.8769,0.0017228,0.0017228,0.0017228
44,857.962,1.6338,1.044,1.85211,0.90217,0.80447,0.87366,0.50265,1.44665,0.94311,1.86842,0.0017162,0.0017162,0.0017162
45,878.404,1.62999,1.03886,1.83852,0.90743,0.78212,0.88633,0.47298,1.57228,0.88871,1.93793,0.0017096,0.0017096,0.0017096
46,897.812,1.63987,1.06626,1.86363,0.89621,0.77187,0.88636,0.4845,1.50097,0.9133,1.8999,0.001703,0.001703,0.001703
47,916.643,1.63195,1.06715,1.86944,0.95986,0.80447,0.89454,0.48314,1.50678,0.91107,1.90526,0.0016964,0.0016964,0.0016964
48,937.247,1.60753,1.02192,1.85444,0.91748,0.78771,0.87274,0.48125,1.53835,0.89712,1.96401,0.0016898,0.0016898,0.0016898
49,956.457,1.61344,1.00869,1.82983,0.89011,0.85979,0.90209,0.50567,1.46393,0.86263,1.84612,0.0016832,0.0016832,0.0016832
50,975.231,1.61998,0.97775,1.8169,0.87309,0.84557,0.89714,0.51609,1.43048,0.8557,1.8565,0.0016766,0.0016766,0.0016766
51,995.859,1.5771,1.02732,1.79076,0.91585,0.79047,0.89232,0.51557,1.4833,0.84358,1.88391,0.00167,0.00167,0.00167
52,1014.56,1.58179,0.98086,1.81187,0.92671,0.74302,0.87938,0.49944,1.42392,0.91466,1.84608,0.0016634,0.0016634,0.0016634
53,1033.24,1.6044,0.99649,1.83616,0.88435,0.83799,0.92204,0.51342,1.46691,0.8568,1.85917,0.0016568,0.0016568,0.0016568
54,1053.62,1.54494,0.95079,1.80665,0.92122,0.82682,0.90727,0.48834,1.4589,0.82042,1.8565,0.0016502,0.0016502,0.0016502
55,1072.31,1.57458,0.97205,1.77888,0.92223,0.84916,0.91014,0.51299,1.47941,0.80832,1.85868,0.0016436,0.0016436,0.0016436
56,1090.67,1.57585,0.93831,1.81115,0.89676,0.81006,0.88665,0.4843,1.42757,0.89347,1.83558,0.001637,0.001637,0.001637
57,1111.25,1.60216,0.95427,1.84661,0.9103,0.83799,0.90717,0.49645,1.57432,0.85609,1.94014,0.0016304,0.0016304,0.0016304
58,1129.8,1.57063,0.9648,1.78627,0.91315,0.86592,0.9285,0.52295,1.46631,0.80138,1.86827,0.0016238,0.0016238,0.0016238
59,1148.65,1.56454,0.96496,1.79548,0.93048,0.84916,0.91066,0.49016,1.49848,0.85452,1.84522,0.0016172,0.0016172,0.0016172
60,1168.78,1.54766,0.94096,1.76283,0.86756,0.86034,0.8994,0.49904,1.48412,0.85798,1.86705,0.0016106,0.0016106,0.0016106
61,1187.78,1.51303,0.90517,1.78905,0.91537,0.88827,0.95446,0.54084,1.40141,0.78194,1.83249,0.001604,0.001604,0.001604
62,1206.8,1.53884,0.93435,1.77521,0.91177,0.86598,0.91582,0.51588,1.44333,0.74799,1.87463,0.0015974,0.0015974,0.0015974
63,1227.45,1.52401,0.90285,1.75364,0.87786,0.87151,0.9202,0.51319,1.46121,0.77934,1.9307,0.0015908,0.0015908,0.0015908
64,1246.53,1.517,0.8988,1.76928,0.89215,0.83184,0.90827,0.47505,1.52209,0.8422,1.90702,0.0015842,0.0015842,0.0015842
65,1265.64,1.53662,0.93175,1.74863,0.9433,0.83642,0.92082,0.47593,1.49446,0.85322,1.84368,0.0015776,0.0015776,0.0015776
66,1286.49,1.52985,0.92278,1.75758,0.89621,0.87151,0.91661,0.51498,1.42483,0.81989,1.81244,0.001571,0.001571,0.001571
67,1305.59,1.5264,0.91237,1.75272,0.90803,0.88247,0.92998,0.53305,1.43986,0.73789,1.81007,0.0015644,0.0015644,0.0015644
68,1324.6,1.51888,0.90681,1.72879,0.89665,0.87248,0.92323,0.53417,1.39287,0.77547,1.79287,0.0015578,0.0015578,0.0015578
69,1345.21,1.53465,0.90778,1.78299,0.93323,0.85896,0.92788,0.5336,1.44026,0.76168,1.8602,0.0015512,0.0015512,0.0015512
70,1364.12,1.51278,0.87618,1.76219,0.91427,0.89368,0.94464,0.53825,1.47204,0.70127,1.89071,0.0015446,0.0015446,0.0015446
71,1382.99,1.50848,0.9167,1.75127,0.88981,0.90225,0.92298,0.53252,1.41123,0.78087,1.80946,0.001538,0.001538,0.001538
72,1403.32,1.48108,0.86276,1.71742,0.90661,0.88268,0.93925,0.55285,1.39841,0.72762,1.81202,0.0015314,0.0015314,0.0015314
73,1422.44,1.47604,0.8441,1.7257,0.92812,0.87709,0.93408,0.54402,1.39171,0.7228,1.76483,0.0015248,0.0015248,0.0015248
74,1441.21,1.48337,0.85903,1.71221,0.91987,0.88827,0.95202,0.55676,1.42599,0.70953,1.80337,0.0015182,0.0015182,0.0015182
75,1461.48,1.46805,0.86609,1.71063,0.89951,0.80013,0.8782,0.53026,1.4121,0.81763,1.79728,0.0015116,0.0015116,0.0015116
76,1480.4,1.47146,0.83657,1.71253,0.94041,0.92737,0.95924,0.58124,1.35498,0.66295,1.75231,0.001505,0.001505,0.001505
77,1499.38,1.46129,0.86608,1.71271,0.88546,0.92179,0.94442,0.57854,1.34704,0.69158,1.73789,0.0014984,0.0014984,0.0014984
78,1520.04,1.47986,0.84807,1.707,0.91159,0.89944,0.92553,0.51163,1.42304,0.76073,1.79025,0.0014918,0.0014918,0.0014918
79,1538.87,1.47699,0.87705,1.70615,0.89976,0.85252,0.91585,0.57019,1.357,0.71422,1.77858,0.0014852,0.0014852,0.0014852
80,1557.64,1.47822,0.84631,1.71893,0.90729,0.87709,0.91542,0.51897,1.42496,0.76235,1.81658,0.0014786,0.0014786,0.0014786
81,1577.99,1.46518,0.85789,1.69645,0.95063,0.84358,0.92891,0.54345,1.41018,0.7023,1.82218,0.001472,0.001472,0.001472
82,1596.77,1.44155,0.81691,1.69426,0.87535,0.90237,0.93658,0.56689,1.3569,0.69962,1.7597,0.0014654,0.0014654,0.0014654
83,1615.58,1.4591,0.83674,1.68041,0.90598,0.91514,0.9357,0.5398,1.37294,0.70499,1.79877,0.0014588,0.0014588,0.0014588
84,1636.39,1.45369,0.82478,1.70789,0.89858,0.9404,0.95213,0.58524,1.33792,0.66553,1.72707,0.0014522,0.0014522,0.0014522
85,1655.22,1.44365,0.84818,1.67346,0.91563,0.90948,0.95502,0.56748,1.36823,0.67488,1.76634,0.0014456,0.0014456,0.0014456
86,1673.77,1.38973,0.80104,1.63803,0.91908,0.88828,0.94048,0.57822,1.30686,0.68544,1.72765,0.001439,0.001439,0.001439
87,1694.18,1.42489,0.79865,1.67083,0.94189,0.90558,0.94606,0.56759,1.33447,0.67733,1.74027,0.0014324,0.0014324,0.0014324
88,1712.74,1.4351,0.80514,1.69431,0.94063,0.88507,0.9475,0.54485,1.3983,0.68841,1.77532,0.0014258,0.0014258,0.0014258
89,1731.18,1.43991,0.80702,1.68102,0.91445,0.92737,0.93973,0.57825,1.35827,0.65927,1.76627,0.0014192,0.0014192,0.0014192
90,1751.55,1.42577,0.78822,1.66436,0.96357,0.93296,0.95854,0.54928,1.38239,0.64999,1.79063,0.0014126,0.0014126,0.0014126
91,1770.59,1.42007,0.8091,1.66321,0.95181,0.88281,0.94289,0.57836,1.34819,0.6721,1.72536,0.001406,0.001406,0.001406
92,1789.36,1.4205,0.81093,1.6657,0.92745,0.93296,0.94948,0.58589,1.33379,0.65434,1.71713,0.0013994,0.0013994,0.0013994
93,1809.78,1.41398,0.79029,1.64611,0.95893,0.91302,0.94452,0.54727,1.37391,0.6641,1.74648,0.0013928,0.0013928,0.0013928
94,1828.76,1.37563,0.77093,1.64302,0.93849,0.90503,0.95237,0.57334,1.31808,0.65649,1.73722,0.0013862,0.0013862,0.0013862
95,1847.73,1.41311,0.78395,1.65505,0.96269,0.91061,0.95922,0.59752,1.31038,0.64993,1.71569,0.0013796,0.0013796,0.0013796
96,1868.49,1.39489,0.78622,1.64881,0.90513,0.9061,0.95436,0.59351,1.31163,0.67375,1.70008,0.001373,0.001373,0.001373
97,1887.27,1.38279,0.77861,1.66525,0.94776,0.91212,0.95767,0.57964,1.34834,0.63562,1.76282,0.0013664,0.0013664,0.0013664
98,1905.83,1.36982,0.75165,1.63202,0.89855,0.94017,0.9591,0.58103,1.32609,0.64226,1.71973,0.0013598,0.0013598,0.0013598
99,1926.74,1.37961,0.7512,1.63011,0.92935,0.94413,0.95976,0.59776,1.28667,0.62979,1.68331,0.0013532,0.0013532,0.0013532
100,1945.5,1.39932,0.78139,1.65597,0.93699,0.9162,0.95947,0.56589,1.36036,0.66898,1.7564,0.0013466,0.0013466,0.0013466
101,1964.67,1.36269,0.76019,1.61573,0.89569,0.95944,0.96365,0.58875,1.30688,0.63373,1.76062,0.00134,0.00134,0.00134
102,1985.15,1.35139,0.76669,1.60675,0.95908,0.89385,0.95778,0.59663,1.31302,0.61265,1.70243,0.0013334,0.0013334,0.0013334
103,2003.74,1.36713,0.7573,1.61491,0.89344,0.89385,0.9405,0.55743,1.36813,0.68959,1.75885,0.0013268,0.0013268,0.0013268
104,2022.41,1.373,0.76477,1.61126,0.96429,0.90519,0.96449,0.58673,1.31821,0.62629,1.70405,0.0013202,0.0013202,0.0013202
105,2043.03,1.34386,0.76498,1.58605,0.95866,0.90682,0.96286,0.59413,1.26856,0.65821,1.70197,0.0013136,0.0013136,0.0013136
106,2061.7,1.38099,0.77339,1.62018,0.95907,0.91624,0.96504,0.6132,1.2542,0.63164,1.65513,0.001307,0.001307,0.001307
107,2080.54,1.35351,0.75576,1.63191,0.952,0.93855,0.97214,0.59928,1.30581,0.6235,1.6979,0.0013004,0.0013004,0.0013004
108,2100.95,1.371,0.75113,1.63164,0.91856,0.92179,0.95426,0.57636,1.36859,0.63886,1.77284,0.0012938,0.0012938,0.0012938
109,2119.99,1.35453,0.73355,1.60022,0.91127,0.91803,0.95761,0.5986,1.29984,0.6266,1.69107,0.0012872,0.0012872,0.0012872
110,2138.87,1.33679,0.75486,1.59208,0.95747,0.92179,0.9634,0.59897,1.30756,0.63234,1.68422,0.0012806,0.0012806,0.0012806
111,2158.81,1.36983,0.74766,1.64976,0.95848,0.90272,0.95677,0.59946,1.28482,0.61946,1.69853,0.001274,0.001274,0.001274
112,2178.18,1.36722,0.75193,1.63735,0.92199,0.93296,0.95391,0.59237,1.33073,0.63984,1.73175,0.0012674,0.0012674,0.0012674
113,2198.79,1.32713,0.74592,1.60176,0.94122,0.94972,0.97208,0.60561,1.28406,0.59022,1.70325,0.0012608,0.0012608,0.0012608
114,2218.4,1.33733,0.72203,1.57526,0.94764,0.91002,0.95696,0.5736,1.34286,0.61603,1.77409,0.0012542,0.0012542,0.0012542
