epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,859.035,1.61938,1.05569,1.83914,0.86521,0.78895,0.87222,0.45839,1.55116,0.96227,1.93442,0.0011684,0.0011684,0.0011684
44,877.494,1.63347,0.99458,1.84955,0.88518,0.77095,0.85506,0.44309,1.60407,0.90925,1.94925,0.0011486,0.0011486,0.0011486
45,897.85,1.59319,0.98178,1.80756,0.88508,0.81564,0.88455,0.48961,1.45661,0.83661,1.88009,0.0011288,0.0011288,0.0011288
46,916.674,1.61216,1.01159,1.83406,0.92854,0.80447,0.88657,0.48914,1.45739,0.8608,1.8845,0.001109,0.001109,0.001109
47,935.513,1.60549,1.01543,1.84722,0.91824,0.81568,0.89524,0.48964,1.52859,0.83006,1.9083,0.0010892,0.0010892,0.0010892
48,955.815,1.55847,0.97516,1.82486,0.92345,0.80873,0.89391,0.50108,1.472,0.85742,1.87091,0.0010694,0.0010694,0.0010694
49,975.013,1.57921,0.95452,1.7925,0.90099,0.79888,0.89525,0.48091,1.48872,0.8825,1.87984,0.0010496,0.0010496,0.0010496
50,993.661,1.57845,0.93102,1.79191,0.90734,0.82054,0.90437,0.52176,1.4444,0.84304,1.83773,0.0010298,0.0010298,0.0010298
51,1014.15,1.57065,0.98209,1.77459,0.93999,0.78752,0.8878,0.49886,1.50718,0.81921,1.88459,0.00101,0.00101,0.00101
52,1032.95,1.55162,0.94225,1.78878,0.92798,0.8324,0.89629,0.5019,1.46893,0.8219,1.85053,0.0009902,0.0009902,0.0009902
53,1051.86,1.56306,0.95216,1.80079,0.91591,0.85192,0.89678,0.51351,1.45727,0.82063,1.84133,0.0009704,0.0009704,0.0009704
54,1072.29,1.50852,0.92167,1.77264,0.92135,0.86592,0.92515,0.51848,1.43544,0.814,1.82349,0.0009506,0.0009506,0.0009506
55,1091.14,1.53645,0.93717,1.75973,0.93834,0.85024,0.91485,0.53489,1.4154,0.78429,1.7971,0.0009308,0.0009308,0.0009308
56,1110.24,1.51236,0.88168,1.76007,0.93673,0.84916,0.91494,0.54148,1.4219,0.76108,1.81777,0.000911,0.000911,0.000911
57,1131.26,1.5653,0.92319,1.80951,0.89381,0.86034,0.91247,0.52588,1.43091,0.77653,1.83297,0.0008912,0.0008912,0.0008912
